Params;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_algorithm;param_n_neighbors;param_weights;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score;split0_train_score;split1_train_score;split2_train_score;mean_train_score;std_train_score
{'algorithm': 'auto', 'n_neighbors': 2, 'weights': 'uniform'};0.5086076259613037;0.007957463591727299;7.0274551709493;0.4235623032035755;auto;2;uniform;{'algorithm': 'auto', 'n_neighbors': 2, 'weights': 'uniform'};0.9779917469050894;0.9834710743801653;0.6707988980716253;0.877466727856815;0.14610305675142474;6;0.9910468319559229;0.987611837577426;0.9896765313145217;0.9894450669492901;0.001411849474827348
{'algorithm': 'auto', 'n_neighbors': 2, 'weights': 'distance'};0.5321396191914877;0.0307331337033849;7.529586712519328;0.5715452266747323;auto;2;distance;{'algorithm': 'auto', 'n_neighbors': 2, 'weights': 'distance'};0.9876203576341128;0.9848484848484849;0.8663911845730028;0.9463056447911886;0.05649994409606031;1;1.0;1.0;1.0;1.0;0.0
{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'uniform'};1.2901806831359863;0.3061950592024271;30.74749557177226;2.115123641055496;auto;5;uniform;{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'uniform'};0.9779917469050894;0.9834710743801653;0.7148760330578512;0.8921523634694815;0.1253301207206326;3;0.993801652892562;0.9855471438403304;0.9917412250516173;0.9903633405948365;0.003507910499192911
{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'distance'};0.4786328474680583;0.045171857046696295;7.263944149017334;0.25992634208722243;auto;5;distance;{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'distance'};0.9779917469050894;0.9834710743801653;0.7148760330578512;0.8921523634694815;0.1253301207206326;3;1.0;1.0;1.0;1.0;0.0
{'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'uniform'};0.448101282119751;0.005087592806680019;7.306869824727376;0.30483091127428175;auto;10;uniform;{'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'uniform'};0.9752407152682255;0.9807162534435262;0.6942148760330579;0.8834327673244607;0.13376988728214273;5;0.990358126721763;0.9807295251204404;0.9917412250516173;0.9876096256312735;0.004897623745374661
{'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'distance'};0.4453866481781006;0.0020762189943989155;7.34108304977417;0.3586331131828019;auto;10;distance;{'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'distance'};0.9766162310866575;0.9834710743801653;0.7396694214876033;0.8999541073887104;0.11333394373872106;2;1.0;1.0;1.0;1.0;0.0
{'algorithm': 'brute', 'n_neighbors': 2, 'weights': 'uniform'};0.03208573659261068;0.001783850127945494;0.1179804007212321;0.0033072914165631576;brute;2;uniform;{'algorithm': 'brute', 'n_neighbors': 2, 'weights': 'uniform'};0.579092159559835;0.5798898071625345;0.5771349862258953;0.5787058283616338;0.0011571464695620173;11;0.5798898071625345;0.5794907088781831;0.5794907088781831;0.5796237416396336;0.0001881367354831769
{'algorithm': 'brute', 'n_neighbors': 2, 'weights': 'distance'};0.03459246953328451;0.004721809594035815;0.10796038309733073;0.010644351769335687;brute;2;distance;{'algorithm': 'brute', 'n_neighbors': 2, 'weights': 'distance'};0.579092159559835;0.5798898071625345;0.568870523415978;0.5759522716842589;0.0050164116692709305;12;0.5798898071625345;0.5794907088781831;0.5794907088781831;0.5796237416396336;0.0001881367354831769
{'algorithm': 'brute', 'n_neighbors': 5, 'weights': 'uniform'};0.03358809153238932;0.0032481186594428254;0.12366223335266113;0.008281869830803363;brute;5;uniform;{'algorithm': 'brute', 'n_neighbors': 5, 'weights': 'uniform'};0.6354883081155434;0.6349862258953168;0.6184573002754821;0.6296466268930702;0.007911981767793171;9;0.5351239669421488;0.5354439091534756;0.5354439091534756;0.5353372617497;0.00015082220481133638
{'algorithm': 'brute', 'n_neighbors': 5, 'weights': 'distance'};0.03192734718322754;0.002259555612136997;0.10444140434265137;0.004413027331152461;brute;5;distance;{'algorithm': 'brute', 'n_neighbors': 5, 'weights': 'distance'};0.6354883081155434;0.6349862258953168;0.6184573002754821;0.6296466268930702;0.007911981767793171;9;0.5351239669421488;0.5354439091534756;0.5354439091534756;0.5353372617497;0.00015082220481133638
{'algorithm': 'brute', 'n_neighbors': 10, 'weights': 'uniform'};0.03878513971964518;0.0020850180831983455;0.11880962053934734;0.002854841563765838;brute;10;uniform;{'algorithm': 'brute', 'n_neighbors': 10, 'weights': 'uniform'};0.6354883081155434;0.6349862258953168;0.6239669421487604;0.6314823313446535;0.005316307497641861;7;0.5351239669421488;0.5354439091534756;0.5354439091534756;0.5353372617497;0.00015082220481133638
{'algorithm': 'brute', 'n_neighbors': 10, 'weights': 'distance'};0.034591992696126304;0.0034976193012855364;0.1044453779856364;0.005117727815082659;brute;10;distance;{'algorithm': 'brute', 'n_neighbors': 10, 'weights': 'distance'};0.6354883081155434;0.6349862258953168;0.6212121212121212;0.6305644791188618;0.006614017283899877;8;0.5351239669421488;0.5354439091534756;0.5354439091534756;0.5353372617497;0.00015082220481133638
