Params;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_max_depth;param_max_features;param_n_estimators;param_random_state;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score;split0_train_score;split1_train_score;split2_train_score;mean_train_score;std_train_score
{'max_depth': None, 'max_features': 1, 'n_estimators': 10, 'random_state': 17};0.03783289591471354;0.00023201450448852559;0.005994399388631185;2.298428748407559e-05;;1;10;17;{'max_depth': None, 'max_features': 1, 'n_estimators': 10, 'random_state': 17};0.9628610729023384;0.9545454545454546;0.6845730027548209;0.867370353373107;0.1292573582990259;11;1.0;0.9993117687543015;0.9993117687543015;0.9995411791695344;0.0003244353205719165
{'max_depth': None, 'max_features': 1, 'n_estimators': 10, 'random_state': 42};0.04931743939717611;0.010278974525682247;0.007879972457885742;0.0022547024387996975;;1;10;42;{'max_depth': None, 'max_features': 1, 'n_estimators': 10, 'random_state': 42};0.9752407152682255;0.9710743801652892;0.628099173553719;0.8581918311151905;0.1626529768122842;16;0.9993112947658402;1.0;0.9993117687543015;0.9995410211733806;0.0003245470984104566
{'max_depth': None, 'max_features': 1, 'n_estimators': 50, 'random_state': 17};0.09331878026326497;0.0043085319261262165;0.016192038853963215;0.0016670772660012539;;1;50;17;{'max_depth': None, 'max_features': 1, 'n_estimators': 50, 'random_state': 17};0.9683631361760661;0.9655647382920111;0.6749311294765841;0.8696649839375861;0.13765497885811834;8;1.0;1.0;1.0;1.0;0.0
{'max_depth': None, 'max_features': 1, 'n_estimators': 50, 'random_state': 42};0.08994110425313313;0.0016291728716203147;0.015368461608886719;0.0004381602912056082;;1;50;42;{'max_depth': None, 'max_features': 1, 'n_estimators': 50, 'random_state': 42};0.9779917469050894;0.9834710743801653;0.6363636363636364;0.8659935750344194;0.16233241871442555;13;1.0;1.0;1.0;1.0;0.0
{'max_depth': None, 'max_features': 1, 'n_estimators': 100, 'random_state': 17};0.15795580546061197;0.007146670314424906;0.028435786565144856;0.0021775873644911165;;1;100;17;{'max_depth': None, 'max_features': 1, 'n_estimators': 100, 'random_state': 17};0.9738651994497937;0.9793388429752066;0.6584022038567493;0.8705828361633777;0.14999937556459364;7;1.0;1.0;1.0;1.0;0.0
{'max_depth': None, 'max_features': 1, 'n_estimators': 100, 'random_state': 42};0.1561001936594645;0.0027004974108541385;0.02976671854654948;0.0038491435321442074;;1;100;42;{'max_depth': None, 'max_features': 1, 'n_estimators': 100, 'random_state': 42};0.9821182943603851;0.987603305785124;0.6377410468319559;0.8692060578246902;0.16362947373234557;10;1.0;1.0;1.0;1.0;0.0
{'max_depth': 5, 'max_features': 1, 'n_estimators': 10, 'random_state': 17};0.035145839055379234;0.0008344466873454585;0.005868673324584961;0.0002105820543363828;5;1;10;17;{'max_depth': 5, 'max_features': 1, 'n_estimators': 10, 'random_state': 17};0.9037138927097662;0.9724517906336089;0.7327823691460055;0.8696649839375861;0.1007454262000341;8;0.9827823691460055;0.9779766001376462;0.975223675154852;0.9786608814795011;0.0031235283926016716
{'max_depth': 5, 'max_features': 1, 'n_estimators': 10, 'random_state': 42};0.03598515192667643;0.001890590604874801;0.0055247147878011065;0.0004278187099355977;5;1;10;42;{'max_depth': 5, 'max_features': 1, 'n_estimators': 10, 'random_state': 42};0.9559834938101788;0.9380165289256198;0.6349862258953168;0.8430472693896283;0.1472535793899288;18;0.9703856749311295;0.9841706813489333;0.9889883000688231;0.9811815521162952;0.0078831290606563
{'max_depth': 5, 'max_features': 1, 'n_estimators': 50, 'random_state': 17};0.07241662343343098;0.0034343383807330734;0.012363433837890625;0.0012598129013918554;5;1;50;17;{'max_depth': 5, 'max_features': 1, 'n_estimators': 50, 'random_state': 17};0.9614855570839065;0.9655647382920111;0.6928374655647382;0.8733363928407526;0.12759895789441947;6;0.9944903581267218;0.9855471438403304;0.987611837577426;0.989216446514826;0.003823292457604845
{'max_depth': 5, 'max_features': 1, 'n_estimators': 50, 'random_state': 42};0.0743856430053711;0.004126845324093894;0.011364142100016275;0.000231761363659481;5;1;50;42;{'max_depth': 5, 'max_features': 1, 'n_estimators': 50, 'random_state': 42};0.9697386519944979;0.9641873278236914;0.628099173553719;0.8540614960991281;0.15974057966440686;17;0.9951790633608816;0.9896765313145217;0.9896765313145217;0.9915107086633084;0.002593918482451567
{'max_depth': 5, 'max_features': 1, 'n_estimators': 100, 'random_state': 17};0.12063797314961751;0.003670511056518141;0.019422133763631184;0.00047156295316511256;5;1;100;17;{'max_depth': 5, 'max_features': 1, 'n_estimators': 100, 'random_state': 17};0.953232462173315;0.9834710743801653;0.6487603305785123;0.861863240018357;0.15113976393730535;14;0.9972451790633609;0.9910529938059188;0.9903647625602202;0.9928876451431666;0.003094025636730826
{'max_depth': 5, 'max_features': 1, 'n_estimators': 100, 'random_state': 42};0.19135491053263345;0.0452319530061218;0.03110019365946452;0.009547182094591926;5;1;100;42;{'max_depth': 5, 'max_features': 1, 'n_estimators': 100, 'random_state': 42};0.9711141678129298;0.9738292011019284;0.6308539944903582;0.8586507572280863;0.16102501289061683;15;1.0;0.9931176875430144;0.9924294562973159;0.99518238128011;0.003418138202741754
{'max_depth': 10, 'max_features': 1, 'n_estimators': 10, 'random_state': 17};0.044374704360961914;0.0031831410661049934;0.0066945552825927734;0.0009628043834872558;10;1;10;17;{'max_depth': 10, 'max_features': 1, 'n_estimators': 10, 'random_state': 17};0.9559834938101788;0.9724517906336089;0.6928374655647382;0.8737953189536485;0.12808909079140965;5;0.9972451790633609;0.9958706125258087;1.0;0.9977052638630566;0.001716919478831262
{'max_depth': 10, 'max_features': 1, 'n_estimators': 10, 'random_state': 42};0.0383147398630778;0.00020888527675506395;0.006019115447998047;6.265768478529302e-06;10;1;10;42;{'max_depth': 10, 'max_features': 1, 'n_estimators': 10, 'random_state': 42};0.9656121045392022;0.9655647382920111;0.7823691460055097;0.9045433685176687;0.08636049004843739;2;1.0;0.9972470750172058;1.0;0.9990823583390686;0.0012977412822877707
