Params;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_max_depth;param_min_samples_split;param_random_state;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score;split0_train_score;split1_train_score;split2_train_score;mean_train_score;std_train_score
{'max_depth': None, 'min_samples_split': 2, 'random_state': 17};2.7478628953297934;0.18746185576541247;0.005658706029256185;0.0023107942474132033;;2;17;{'max_depth': None, 'min_samples_split': 2, 'random_state': 17};0.514047866805411;0.7701149425287356;0.6830543933054394;0.6555323590814196;0.1063827878561934;10;1.0;1.0;1.0;1.0;0.0
{'max_depth': None, 'min_samples_split': 2, 'random_state': 42};2.69002374013265;0.13828148006817723;0.004679441452026367;0.00047305722903585656;;2;42;{'max_depth': None, 'min_samples_split': 2, 'random_state': 42};0.5775234131113424;0.7847439916405433;0.6736401673640168;0.6784968684759917;0.08471082714500054;1;1.0;1.0;1.0;1.0;0.0
{'max_depth': None, 'min_samples_split': 5, 'random_state': 17};2.6882449785868325;0.13523901119980689;0.004019021987915039;1.1465595493421263e-05;;5;17;{'max_depth': None, 'min_samples_split': 5, 'random_state': 17};0.5078043704474505;0.7701149425287356;0.6757322175732218;0.651009046624913;0.1085559220780039;12;0.9921589127025614;0.9942618675013041;0.9911366006256517;0.9925191269431725;0.001301060845455671
{'max_depth': None, 'min_samples_split': 5, 'random_state': 42};2.680856784184774;0.12951157855561377;0.004331668217976888;0.00044487698708834506;;5;42;{'max_depth': None, 'min_samples_split': 5, 'random_state': 42};0.5057232049947971;0.7701149425287356;0.6642259414225942;0.6464857341684064;0.10871740545236659;16;0.9921589127025614;0.9942618675013041;0.9911366006256517;0.9925191269431725;0.001301060845455671
{'max_depth': None, 'min_samples_split': 10, 'random_state': 17};2.657343784968058;0.12645354843947307;0.00454099973042806;0.0007491466955053026;;10;17;{'max_depth': None, 'min_samples_split': 10, 'random_state': 17};0.5275754422476587;0.7617554858934169;0.6799163179916318;0.6562282533054976;0.09710424453278334;7;0.978044955567172;0.9833072509128847;0.9807090719499478;0.9806870928100015;0.002148379294308796
{'max_depth': None, 'min_samples_split': 10, 'random_state': 42};2.6571223735809326;0.12949007540430207;0.0043841203053792315;0.0004487713394560059;;10;42;{'max_depth': None, 'min_samples_split': 10, 'random_state': 42};0.5306971904266389;0.7648902821316614;0.6715481171548117;0.6555323590814196;0.0963245578193544;10;0.978044955567172;0.9833072509128847;0.9807090719499478;0.9806870928100015;0.002148379294308796
{'max_depth': 5, 'min_samples_split': 2, 'random_state': 17};1.951080083847046;0.041097585633201913;0.004667202631632487;0.0004628469737581752;5;2;17;{'max_depth': 5, 'min_samples_split': 2, 'random_state': 17};0.5338189386056191;0.7669801462904912;0.643305439330544;0.6478775226165623;0.09529181083910285;13;0.7976999477260847;0.8748043818466353;0.8910323253388946;0.8545122183038716;0.04071496124399271
{'max_depth': 5, 'min_samples_split': 2, 'random_state': 42};1.9537900288899739;0.04095044246882428;0.004251718521118164;0.00037268095733168416;5;2;42;{'max_depth': 5, 'min_samples_split': 2, 'random_state': 42};0.5556711758584808;0.7753396029258098;0.6380753138075314;0.6562282533054976;0.09063652003482993;7;0.7976999477260847;0.8748043818466353;0.8910323253388946;0.8545122183038716;0.04071496124399271
{'max_depth': 5, 'min_samples_split': 5, 'random_state': 17};1.9540952046712239;0.0443131200712072;0.005029360453287761;0.0008371476543594165;5;5;17;{'max_depth': 5, 'min_samples_split': 5, 'random_state': 17};0.5338189386056191;0.7669801462904912;0.643305439330544;0.6478775226165623;0.09529181083910285;13;0.7976999477260847;0.8748043818466353;0.8910323253388946;0.8545122183038716;0.04071496124399271
{'max_depth': 5, 'min_samples_split': 5, 'random_state': 42};1.9517470200856526;0.05448412782937508;0.004530111948649089;0.0007359414323704949;5;5;42;{'max_depth': 5, 'min_samples_split': 5, 'random_state': 42};0.5556711758584808;0.7753396029258098;0.6380753138075314;0.6562282533054976;0.09063652003482993;7;0.7976999477260847;0.8748043818466353;0.8910323253388946;0.8545122183038716;0.04071496124399271
