Params;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_criterion;param_max_depth;param_min_samples_split;param_random_state;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score;split0_train_score;split1_train_score;split2_train_score;mean_train_score;std_train_score
{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'random_state': 42};1.490587552388509;0.06941196812363143;0.003989696502685547;2.1705258706552586e-05;gini;;2;42;{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'random_state': 42};0.7929759704251387;0.7817164179104478;0.8059701492537313;0.7935523868567886;0.009894662741368326;6;1.0;1.0;1.0;1.0;0.0
{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 5, 'random_state': 42};1.460640827814738;0.03740306994100508;0.0029969215393066406;0.0008047059247689622;gini;;5;42;{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 5, 'random_state': 42};0.8280961182994455;0.7667910447761194;0.8003731343283582;0.7985120892746436;0.025081195390578473;1;0.9916044776119403;0.9935004642525533;0.9953574744661096;0.993487472110201;0.0015321820918053094
{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 10, 'random_state': 42};1.4593760967254639;0.04554105104493423;0.005337238311767578;0.0032925118286903136;gini;;10;42;{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 10, 'random_state': 42};0.8114602587800369;0.7649253731343284;0.8097014925373134;0.7954122752634842;0.02151939662908828;4;0.9841417910447762;0.9823584029712163;0.9925719591457753;0.9863573843872558;0.00445427306655445
{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2, 'random_state': 42};1.1701923211415608;0.013298112659222755;0.002674738566080729;0.00047249443011275683;gini;5;2;42;{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2, 'random_state': 42};0.6802218114602587;0.7518656716417911;0.7220149253731343;0.7179169249845009;0.02941324604673103;18;0.8460820895522388;0.8560817084493965;0.8672237697307336;0.8564625225774564;0.008635254280854987
{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 5, 'random_state': 42};1.1717885335286458;0.01829549869601975;0.002684911092122396;0.00047624600377048267;gini;5;5;42;{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 5, 'random_state': 42};0.6802218114602587;0.7518656716417911;0.7369402985074627;0.7228766274023558;0.030906561261734196;16;0.8460820895522388;0.8560817084493965;0.8662952646239555;0.856153020875197;0.008252148234107349
{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'random_state': 42};1.168513536453247;0.013791331165127685;0.003007650375366211;1.1841189404925775e-06;gini;5;10;42;{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10, 'random_state': 42};0.6802218114602587;0.7518656716417911;0.7350746268656716;0.7222566646001239;0.030635762048173174;17;0.8460820895522388;0.8560817084493965;0.8653667595171773;0.8558435191729376;0.007874734895546865
{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2, 'random_state': 42};1.463227351506551;0.03749300735230081;0.003353277842203776;0.0012646184469353677;gini;10;2;42;{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2, 'random_state': 42};0.8040665434380776;0.7779850746268657;0.8059701492537313;0.7960322380657161;0.012755347667151432;3;0.9972014925373134;0.9990714948932219;1.0;0.9987576624768452;0.0011638382172377874
{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5, 'random_state': 42};1.4529021581013997;0.044840781217939205;0.004341284434000651;0.0018899229909316994;gini;10;5;42;{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5, 'random_state': 42};0.8280961182994455;0.7667910447761194;0.8003731343283582;0.7985120892746436;0.025081195390578473;1;0.9916044776119403;0.9935004642525533;0.9953574744661096;0.993487472110201;0.0015321820918053094
{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 10, 'random_state': 42};1.4552857081095378;0.04968282383326063;0.0036783218383789062;0.0009476297869075706;gini;10;10;42;{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 10, 'random_state': 42};0.8114602587800369;0.7649253731343284;0.8097014925373134;0.7954122752634842;0.02151939662908828;4;0.9841417910447762;0.9823584029712163;0.9925719591457753;0.9863573843872558;0.00445427306655445
{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2, 'random_state': 42};2.698385715484619;0.008837355468873698;0.0026740233103434243;0.00047249443011275683;entropy;;2;42;{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2, 'random_state': 42};0.7689463955637708;0.7910447761194029;0.746268656716418;0.768753874767514;0.018251932678501375;12;1.0;1.0;1.0;1.0;0.0
