Params;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_C;param_degree;param_kernel;param_max_iter;param_probability;param_random_state;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score;split0_train_score;split1_train_score;split2_train_score;mean_train_score;std_train_score
{'C': 1, 'degree': 2, 'kernel': 'linear', 'max_iter': -1, 'probability': True, 'random_state': 42};9.479637384414673;0.2643528178911115;1.6003914674123128;0.06073157925535692;1;2;linear;-1;True;42;{'C': 1, 'degree': 2, 'kernel': 'linear', 'max_iter': -1, 'probability': True, 'random_state': 42};0.9001848428835489;0.9197761194029851;0.8694029850746269;0.8964662120272784;0.020702087900841944;1;1.0;1.0;1.0;1.0;0.0
{'C': 1, 'degree': 2, 'kernel': 'linear', 'max_iter': 500, 'probability': True, 'random_state': 42};9.559962113698324;0.06792988264411258;1.6688639322916667;0.07175890080035266;1;2;linear;500;True;42;{'C': 1, 'degree': 2, 'kernel': 'linear', 'max_iter': 500, 'probability': True, 'random_state': 42};0.8983364140480592;0.9197761194029851;0.8694029850746269;0.8958462492250465;0.020608911205747215;19;1.0;1.0;1.0;1.0;0.0
{'C': 1, 'degree': 2, 'kernel': 'linear', 'max_iter': 1000, 'probability': True, 'random_state': 42};9.51142986615499;0.3268476238611186;1.5801903406778972;0.054922327066513475;1;2;linear;1000;True;42;{'C': 1, 'degree': 2, 'kernel': 'linear', 'max_iter': 1000, 'probability': True, 'random_state': 42};0.9001848428835489;0.9197761194029851;0.8694029850746269;0.8964662120272784;0.020702087900841944;1;1.0;1.0;1.0;1.0;0.0
{'C': 1, 'degree': 3, 'kernel': 'linear', 'max_iter': -1, 'probability': True, 'random_state': 42};9.37268074353536;0.07122451743057363;1.5653369426727295;0.057257891369256846;1;3;linear;-1;True;42;{'C': 1, 'degree': 3, 'kernel': 'linear', 'max_iter': -1, 'probability': True, 'random_state': 42};0.9001848428835489;0.9197761194029851;0.8694029850746269;0.8964662120272784;0.020702087900841944;1;1.0;1.0;1.0;1.0;0.0
{'C': 1, 'degree': 3, 'kernel': 'linear', 'max_iter': 500, 'probability': True, 'random_state': 42};9.58839782079061;0.07502303056414258;1.6518278916676838;0.036147524956373696;1;3;linear;500;True;42;{'C': 1, 'degree': 3, 'kernel': 'linear', 'max_iter': 500, 'probability': True, 'random_state': 42};0.8983364140480592;0.9197761194029851;0.8694029850746269;0.8958462492250465;0.020608911205747215;19;1.0;1.0;1.0;1.0;0.0
{'C': 1, 'degree': 3, 'kernel': 'linear', 'max_iter': 1000, 'probability': True, 'random_state': 42};9.798733790715536;0.0947490451945877;1.6675572395324707;0.04272043569427092;1;3;linear;1000;True;42;{'C': 1, 'degree': 3, 'kernel': 'linear', 'max_iter': 1000, 'probability': True, 'random_state': 42};0.9001848428835489;0.9197761194029851;0.8694029850746269;0.8964662120272784;0.020702087900841944;1;1.0;1.0;1.0;1.0;0.0
{'C': 1, 'degree': 5, 'kernel': 'linear', 'max_iter': -1, 'probability': True, 'random_state': 42};9.72843591372172;0.4989351093477621;1.5542260805765789;0.05605991836290418;1;5;linear;-1;True;42;{'C': 1, 'degree': 5, 'kernel': 'linear', 'max_iter': -1, 'probability': True, 'random_state': 42};0.9001848428835489;0.9197761194029851;0.8694029850746269;0.8964662120272784;0.020702087900841944;1;1.0;1.0;1.0;1.0;0.0
{'C': 1, 'degree': 5, 'kernel': 'linear', 'max_iter': 500, 'probability': True, 'random_state': 42};9.551977396011353;0.08215291797070633;1.6643703778584797;0.03356965240750939;1;5;linear;500;True;42;{'C': 1, 'degree': 5, 'kernel': 'linear', 'max_iter': 500, 'probability': True, 'random_state': 42};0.8983364140480592;0.9197761194029851;0.8694029850746269;0.8958462492250465;0.020608911205747215;19;1.0;1.0;1.0;1.0;0.0
{'C': 1, 'degree': 5, 'kernel': 'linear', 'max_iter': 1000, 'probability': True, 'random_state': 42};9.605817397435507;0.3872803063034245;1.6178162892659504;0.11346473525573801;1;5;linear;1000;True;42;{'C': 1, 'degree': 5, 'kernel': 'linear', 'max_iter': 1000, 'probability': True, 'random_state': 42};0.9001848428835489;0.9197761194029851;0.8694029850746269;0.8964662120272784;0.020702087900841944;1;1.0;1.0;1.0;1.0;0.0
{'C': 5, 'degree': 2, 'kernel': 'linear', 'max_iter': -1, 'probability': True, 'random_state': 42};9.328757683436075;0.10581617367160807;1.5519460837046306;0.05592313146859932;5;2;linear;-1;True;42;{'C': 5, 'degree': 2, 'kernel': 'linear', 'max_iter': -1, 'probability': True, 'random_state': 42};0.9001848428835489;0.9197761194029851;0.8694029850746269;0.8964662120272784;0.020702087900841944;1;1.0;1.0;1.0;1.0;0.0
