Params;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_alpha;param_learning_rate;param_max_iter;param_random_state;param_solver;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score;split0_train_score;split1_train_score;split2_train_score;mean_train_score;std_train_score
{'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'};100.7136766910553;6.353347996751436;0.025909900665283203;0.0010206466853490213;0.0001;constant;1000;42;sgd;{'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'};0.9242144177449169;0.9197761194029851;0.8861940298507462;0.9101053936763794;0.016965776431915006;5;1.0;0.9990714948932219;0.9990714948932219;0.9993809965954812;0.0004377015049127608
{'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 1000, 'random_state': 42, 'solver': 'adam'};33.65107178688049;6.6385664415008385;0.028582255045572918;0.006031581164730473;0.0001;constant;1000;42;adam;{'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 1000, 'random_state': 42, 'solver': 'adam'};0.9094269870609981;0.9197761194029851;0.8861940298507462;0.9051456912585245;0.014022376974263067;13;1.0;1.0;1.0;1.0;0.0
{'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 2000, 'random_state': 42, 'solver': 'sgd'};99.96437954902649;6.467951701267594;0.023563146591186523;0.0018748349437645458;0.0001;constant;2000;42;sgd;{'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 2000, 'random_state': 42, 'solver': 'sgd'};0.9242144177449169;0.9197761194029851;0.8861940298507462;0.9101053936763794;0.016965776431915006;5;1.0;0.9990714948932219;0.9990714948932219;0.9993809965954812;0.0004377015049127608
{'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 2000, 'random_state': 42, 'solver': 'adam'};33.97602947552999;6.647847136708821;0.024066686630249023;0.0008204285279717418;0.0001;constant;2000;42;adam;{'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 2000, 'random_state': 42, 'solver': 'adam'};0.9094269870609981;0.9197761194029851;0.8861940298507462;0.9051456912585245;0.014022376974263067;13;1.0;1.0;1.0;1.0;0.0
{'alpha': 0.0001, 'learning_rate': 'adaptive', 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'};161.05763983726501;40.20910712782109;0.03375903765360514;0.006129528947086261;0.0001;adaptive;1000;42;sgd;{'alpha': 0.0001, 'learning_rate': 'adaptive', 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'};0.9260628465804066;0.9235074626865671;0.8861940298507462;0.911965282083075;0.01821062962476032;1;1.0;0.9990714948932219;0.9990714948932219;0.9993809965954812;0.0004377015049127608
{'alpha': 0.0001, 'learning_rate': 'adaptive', 'max_iter': 1000, 'random_state': 42, 'solver': 'adam'};75.83032965660095;22.494710730069446;0.04411792755126953;0.0057310248333327625;0.0001;adaptive;1000;42;adam;{'alpha': 0.0001, 'learning_rate': 'adaptive', 'max_iter': 1000, 'random_state': 42, 'solver': 'adam'};0.9094269870609981;0.9197761194029851;0.8861940298507462;0.9051456912585245;0.014022376974263067;13;1.0;1.0;1.0;1.0;0.0
{'alpha': 0.0001, 'learning_rate': 'adaptive', 'max_iter': 2000, 'random_state': 42, 'solver': 'sgd'};254.04845762252808;13.907012479600523;0.0416106383005778;0.008977237818668507;0.0001;adaptive;2000;42;sgd;{'alpha': 0.0001, 'learning_rate': 'adaptive', 'max_iter': 2000, 'random_state': 42, 'solver': 'sgd'};0.9260628465804066;0.9235074626865671;0.8861940298507462;0.911965282083075;0.01821062962476032;1;1.0;0.9990714948932219;0.9990714948932219;0.9993809965954812;0.0004377015049127608
{'alpha': 0.0001, 'learning_rate': 'adaptive', 'max_iter': 2000, 'random_state': 42, 'solver': 'adam'};48.439600467681885;13.946516485734383;0.027072827021280926;0.0021664185988970893;0.0001;adaptive;2000;42;adam;{'alpha': 0.0001, 'learning_rate': 'adaptive', 'max_iter': 2000, 'random_state': 42, 'solver': 'adam'};0.9094269870609981;0.9197761194029851;0.8861940298507462;0.9051456912585245;0.014022376974263067;13;1.0;1.0;1.0;1.0;0.0
{'alpha': 0.001, 'learning_rate': 'constant', 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'};186.2055683930715;66.66794006497277;0.02773936589558919;0.0012503997998318376;0.001;constant;1000;42;sgd;{'alpha': 0.001, 'learning_rate': 'constant', 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'};0.9242144177449169;0.9197761194029851;0.8861940298507462;0.9101053936763794;0.016965776431915006;5;1.0;0.9990714948932219;0.9990714948932219;0.9993809965954812;0.0004377015049127608
{'alpha': 0.001, 'learning_rate': 'constant', 'max_iter': 1000, 'random_state': 42, 'solver': 'adam'};22.938416878382366;4.014973987870874;0.025054931640625;1.8609889932845285e-05;0.001;constant;1000;42;adam;{'alpha': 0.001, 'learning_rate': 'constant', 'max_iter': 1000, 'random_state': 42, 'solver': 'adam'};0.9149722735674677;0.917910447761194;0.8880597014925373;0.9070055796652201;0.013419424407046838;9;1.0;0.9990714948932219;1.0;0.9996904982977406;0.0004377015049127608
{'alpha': 0.001, 'learning_rate': 'constant', 'max_iter': 2000, 'random_state': 42, 'solver': 'sgd'};319.0889623959859;153.76369737421373;0.10983991622924805;0.08059176480972469;0.001;constant;2000;42;sgd;{'alpha': 0.001, 'learning_rate': 'constant', 'max_iter': 2000, 'random_state': 42, 'solver': 'sgd'};0.9242144177449169;0.9197761194029851;0.8861940298507462;0.9101053936763794;0.016965776431915006;5;1.0;0.9990714948932219;0.9990714948932219;0.9993809965954812;0.0004377015049127608
{'alpha': 0.001, 'learning_rate': 'constant', 'max_iter': 2000, 'random_state': 42, 'solver': 'adam'};86.94538013140361;14.714413216273275;0.07553982734680176;0.004099787159267164;0.001;constant;2000;42;adam;{'alpha': 0.001, 'learning_rate': 'constant', 'max_iter': 2000, 'random_state': 42, 'solver': 'adam'};0.9149722735674677;0.917910447761194;0.8880597014925373;0.9070055796652201;0.013419424407046838;9;1.0;0.9990714948932219;1.0;0.9996904982977406;0.0004377015049127608
{'alpha': 0.001, 'learning_rate': 'adaptive', 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'};449.34836506843567;28.686810752722984;0.07720343271891277;0.019877605087480127;0.001;adaptive;1000;42;sgd;{'alpha': 0.001, 'learning_rate': 'adaptive', 'max_iter': 1000, 'random_state': 42, 'solver': 'sgd'};0.9260628465804066;0.9235074626865671;0.8861940298507462;0.911965282083075;0.01821062962476032;1;1.0;0.9990714948932219;0.9990714948932219;0.9993809965954812;0.0004377015049127608
{'alpha': 0.001, 'learning_rate': 'adaptive', 'max_iter': 1000, 'random_state': 42, 'solver': 'adam'};80.9241160551707;13.991398927598176;0.11714442571004231;0.02568332495592404;0.001;adaptive;1000;42;adam;{'alpha': 0.001, 'learning_rate': 'adaptive', 'max_iter': 1000, 'random_state': 42, 'solver': 'adam'};0.9149722735674677;0.917910447761194;0.8880597014925373;0.9070055796652201;0.013419424407046838;9;1.0;0.9990714948932219;1.0;0.9996904982977406;0.0004377015049127608
{'alpha': 0.001, 'learning_rate': 'adaptive', 'max_iter': 2000, 'random_state': 42, 'solver': 'sgd'};138.0958202679952;38.73294559794348;0.0228268305460612;0.0024911364286411366;0.001;adaptive;2000;42;sgd;{'alpha': 0.001, 'learning_rate': 'adaptive', 'max_iter': 2000, 'random_state': 42, 'solver': 'sgd'};0.9260628465804066;0.9235074626865671;0.8861940298507462;0.911965282083075;0.01821062962476032;1;1.0;0.9990714948932219;0.9990714948932219;0.9993809965954812;0.0004377015049127608
{'alpha': 0.001, 'learning_rate': 'adaptive', 'max_iter': 2000, 'random_state': 42, 'solver': 'adam'};20.928476015726726;3.597855050311205;0.02975145975748698;0.006674829140676465;0.001;adaptive;2000;42;adam;{'alpha': 0.001, 'learning_rate': 'adaptive', 'max_iter': 2000, 'random_state': 42, 'solver': 'adam'};0.9149722735674677;0.917910447761194;0.8880597014925373;0.9070055796652201;0.013419424407046838;9;1.0;0.9990714948932219;1.0;0.9996904982977406;0.0004377015049127608
