Params;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_reg_param;param_store_covariance;param_tol;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score;split0_train_score;split1_train_score;split2_train_score;mean_train_score;std_train_score
{'reg_param': 0.0, 'store_covariance': True, 'tol': 0.01};1.1347787380218506;0.03440283118848672;0.14189767837524414;0.006423505967843032;0.0;True;0.01;{'reg_param': 0.0, 'store_covariance': True, 'tol': 0.01};0.22735674676524953;0.22014925373134328;0.2294776119402985;0.22566646001239926;0.0039874739215458145;7;1.0;1.0;1.0;1.0;0.0
{'reg_param': 0.0, 'store_covariance': True, 'tol': 0.0001};1.1131258805592854;0.00879656328078852;0.14073101679484049;0.00467066272045084;0.0;True;0.0001;{'reg_param': 0.0, 'store_covariance': True, 'tol': 0.0001};0.22735674676524953;0.22014925373134328;0.2294776119402985;0.22566646001239926;0.0039874739215458145;7;1.0;1.0;1.0;1.0;0.0
{'reg_param': 0.0, 'store_covariance': True, 'tol': 1e-06};1.1067312558492024;0.007769705345227094;0.14231355985005698;0.009357801425031403;0.0;True;1e-06;{'reg_param': 0.0, 'store_covariance': True, 'tol': 1e-06};0.22735674676524953;0.22014925373134328;0.2294776119402985;0.22566646001239926;0.0039874739215458145;7;1.0;1.0;1.0;1.0;0.0
{'reg_param': 0.0, 'store_covariance': False, 'tol': 0.01};0.3881515661875407;0.015913027561770713;0.14021150271097818;0.0046970066550311345;0.0;False;0.01;{'reg_param': 0.0, 'store_covariance': False, 'tol': 0.01};0.22735674676524953;0.22014925373134328;0.2294776119402985;0.22566646001239926;0.0039874739215458145;7;1.0;1.0;1.0;1.0;0.0
{'reg_param': 0.0, 'store_covariance': False, 'tol': 0.0001};0.4100014368693034;0.022584479288908124;0.14275280634562174;0.0006494953385022637;0.0;False;0.0001;{'reg_param': 0.0, 'store_covariance': False, 'tol': 0.0001};0.22735674676524953;0.22014925373134328;0.2294776119402985;0.22566646001239926;0.0039874739215458145;7;1.0;1.0;1.0;1.0;0.0
{'reg_param': 0.0, 'store_covariance': False, 'tol': 1e-06};0.39659396807352704;0.004145772139105682;0.14307292302449545;0.008928131016006206;0.0;False;1e-06;{'reg_param': 0.0, 'store_covariance': False, 'tol': 1e-06};0.22735674676524953;0.22014925373134328;0.2294776119402985;0.22566646001239926;0.0039874739215458145;7;1.0;1.0;1.0;1.0;0.0
{'reg_param': 0.5, 'store_covariance': True, 'tol': 0.01};1.1207499504089355;0.010065744639261324;0.14323687553405762;0.0041333900448062245;0.5;True;0.01;{'reg_param': 0.5, 'store_covariance': True, 'tol': 0.01};0.9408502772643254;0.875;0.8227611940298507;0.879727216367018;0.04836161106308416;1;0.8274253731343284;0.8783658310120706;0.9052924791086351;0.870361227751678;0.032289077649887456
{'reg_param': 0.5, 'store_covariance': True, 'tol': 0.0001};1.1144444942474365;0.01573294777302829;0.14853739738464355;0.008474290873812759;0.5;True;0.0001;{'reg_param': 0.5, 'store_covariance': True, 'tol': 0.0001};0.9408502772643254;0.875;0.8227611940298507;0.879727216367018;0.04836161106308416;1;0.8274253731343284;0.8783658310120706;0.9052924791086351;0.870361227751678;0.032289077649887456
{'reg_param': 0.5, 'store_covariance': True, 'tol': 1e-06};1.1288487911224365;0.013494959696467248;0.14245295524597168;0.002453701746341788;0.5;True;1e-06;{'reg_param': 0.5, 'store_covariance': True, 'tol': 1e-06};0.9408502772643254;0.875;0.8227611940298507;0.879727216367018;0.04836161106308416;1;0.8274253731343284;0.8783658310120706;0.9052924791086351;0.870361227751678;0.032289077649887456
{'reg_param': 0.5, 'store_covariance': False, 'tol': 0.01};0.3949679533640544;0.011446719691323545;0.1403625806172689;0.0022767932423071024;0.5;False;0.01;{'reg_param': 0.5, 'store_covariance': False, 'tol': 0.01};0.9408502772643254;0.875;0.8227611940298507;0.879727216367018;0.04836161106308416;1;0.8274253731343284;0.8783658310120706;0.9052924791086351;0.870361227751678;0.032289077649887456
{'reg_param': 0.5, 'store_covariance': False, 'tol': 0.0001};0.40545058250427246;0.010178267065297961;0.1397224267323812;0.0016987004174838327;0.5;False;0.0001;{'reg_param': 0.5, 'store_covariance': False, 'tol': 0.0001};0.9408502772643254;0.875;0.8227611940298507;0.879727216367018;0.04836161106308416;1;0.8274253731343284;0.8783658310120706;0.9052924791086351;0.870361227751678;0.032289077649887456
{'reg_param': 0.5, 'store_covariance': False, 'tol': 1e-06};0.38929255803426105;0.002091023615734912;0.14794365564982095;0.012542327976511404;0.5;False;1e-06;{'reg_param': 0.5, 'store_covariance': False, 'tol': 1e-06};0.9408502772643254;0.875;0.8227611940298507;0.879727216367018;0.04836161106308416;1;0.8274253731343284;0.8783658310120706;0.9052924791086351;0.870361227751678;0.032289077649887456
