Params;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_max_depth;param_max_features;param_min_samples_split;param_n_estimators;param_random_state;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score;split0_train_score;split1_train_score;split2_train_score;mean_train_score;std_train_score
{'max_depth': None, 'max_features': 1, 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 42};0.03816016515096029;0.0008481525363075113;0.007027069727579753;0.001413162520531711;;1;2;10;42;{'max_depth': None, 'max_features': 1, 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 42};0.8299445471349353;0.7966417910447762;0.7611940298507462;0.7960322380657161;0.028092012292421822;33;0.9990671641791045;0.9990714948932219;0.9990714948932219;0.9990700513218495;2.041518213209428e-06
{'max_depth': None, 'max_features': 1, 'min_samples_split': 2, 'n_estimators': 50, 'random_state': 42};0.11725036303202312;0.006594136742076134;0.021104176839192707;0.003499706782689158;;1;2;50;42;{'max_depth': None, 'max_features': 1, 'min_samples_split': 2, 'n_estimators': 50, 'random_state': 42};0.9038817005545287;0.8694029850746269;0.8526119402985075;0.8753874767513949;0.02136800279222485;10;1.0;1.0;1.0;1.0;0.0
{'max_depth': None, 'max_features': 1, 'min_samples_split': 4, 'n_estimators': 10, 'random_state': 42};0.036486546198527016;0.001166959884897953;0.005869944890340169;0.0002476078690352654;;1;4;10;42;{'max_depth': None, 'max_features': 1, 'min_samples_split': 4, 'n_estimators': 10, 'random_state': 42};0.8465804066543438;0.8246268656716418;0.7555970149253731;0.8090514569125853;0.038762160049583834;31;0.9944029850746269;0.9907149489322191;0.9972144846796658;0.9941108062288372;0.002661455440359588
{'max_depth': None, 'max_features': 1, 'min_samples_split': 4, 'n_estimators': 50, 'random_state': 42};0.11018649737040202;0.00553011608073453;0.023220539093017578;0.0019226443294894464;;1;4;50;42;{'max_depth': None, 'max_features': 1, 'min_samples_split': 4, 'n_estimators': 50, 'random_state': 42};0.9075785582255084;0.8694029850746269;0.8003731343283582;0.8592684438933664;0.04437954520201397;19;1.0;1.0;1.0;1.0;0.0
{'max_depth': None, 'max_features': 'auto', 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 42};0.21134432156880698;0.0017349908261797002;0.0056641896565755205;0.0004753336382198162;;auto;2;10;42;{'max_depth': None, 'max_features': 'auto', 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 42};0.8853974121996303;0.8582089552238806;0.8264925373134329;0.856788592684439;0.024087034615235845;21;0.9981343283582089;0.9990714948932219;1.0;0.9990686077504769;0.0007616599943285177
{'max_depth': None, 'max_features': 'auto', 'min_samples_split': 2, 'n_estimators': 50, 'random_state': 42};0.9632385571797689;0.00972941148843402;0.019068002700805664;0.005000087383996667;;auto;2;50;42;{'max_depth': None, 'max_features': 'auto', 'min_samples_split': 2, 'n_estimators': 50, 'random_state': 42};0.9260628465804066;0.8973880597014925;0.8656716417910447;0.8964662120272784;0.024682008035124367;2;1.0;1.0;1.0;1.0;0.0
{'max_depth': None, 'max_features': 'auto', 'min_samples_split': 4, 'n_estimators': 10, 'random_state': 42};0.21207729975382486;0.006387035106245747;0.005003213882446289;1.2325725569257692e-05;;auto;4;10;42;{'max_depth': None, 'max_features': 'auto', 'min_samples_split': 4, 'n_estimators': 10, 'random_state': 42};0.8909426987060998;0.8638059701492538;0.8283582089552238;0.861128332300062;0.025639207890717084;17;0.9990671641791045;1.0;1.0;0.999689054726368;0.0004397430231259702
{'max_depth': None, 'max_features': 'auto', 'min_samples_split': 4, 'n_estimators': 50, 'random_state': 42};0.9545076688130697;0.020266564470850172;0.016388813654581707;0.0004929257210971212;;auto;4;50;42;{'max_depth': None, 'max_features': 'auto', 'min_samples_split': 4, 'n_estimators': 50, 'random_state': 42};0.9186691312384473;0.8861940298507462;0.8600746268656716;0.8884066955982641;0.023990215475192454;3;1.0;1.0;1.0;1.0;0.0
{'max_depth': None, 'max_features': None, 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 42};8.832183599472046;0.238244725166021;0.005339463551839192;0.0004786704636452203;;;2;10;42;{'max_depth': None, 'max_features': None, 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 42};0.8872458410351202;0.8563432835820896;0.8227611940298507;0.8555486670799752;0.02635181942019574;22;0.9972014925373134;0.9972144846796658;0.9972144846796658;0.9972101539655484;6.12455463968062e-06
{'max_depth': None, 'max_features': None, 'min_samples_split': 2, 'n_estimators': 50, 'random_state': 42};43.90654889742533;0.8316369029493155;0.016397396723429363;0.0024661510918914885;;;2;50;42;{'max_depth': None, 'max_features': None, 'min_samples_split': 2, 'n_estimators': 50, 'random_state': 42};0.9094269870609981;0.878731343283582;0.8638059701492538;0.8840669559826411;0.019015203699997287;6;1.0;1.0;1.0;1.0;0.0
{'max_depth': None, 'max_features': None, 'min_samples_split': 4, 'n_estimators': 10, 'random_state': 42};8.79667361577352;0.23352691629349154;0.0051928361256917315;0.00024996808164613624;;;4;10;42;{'max_depth': None, 'max_features': None, 'min_samples_split': 4, 'n_estimators': 10, 'random_state': 42};0.8798521256931608;0.875;0.8171641791044776;0.8574085554866708;0.028460063704483396;20;0.996268656716418;0.9962859795728877;0.9981429897864438;0.9968992086919165;0.0008795144791935813
{'max_depth': None, 'max_features': None, 'min_samples_split': 4, 'n_estimators': 50, 'random_state': 42};43.78853797912598;0.8413585557024901;0.014063040415445963;0.000800669092445216;;;4;50;42;{'max_depth': None, 'max_features': None, 'min_samples_split': 4, 'n_estimators': 50, 'random_state': 42};0.9186691312384473;0.8880597014925373;0.8507462686567164;0.8859268443893367;0.02779133579651105;5;1.0;1.0;1.0;1.0;0.0
{'max_depth': 5, 'max_features': 1, 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 42};0.03639324506123861;0.0031680463562714775;0.006118059158325195;0.0013781405213835116;5;1;2;10;42;{'max_depth': 5, 'max_features': 1, 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 42};0.7726432532347505;0.75;0.6865671641791045;0.7365158090514569;0.03643110949363152;35;0.8283582089552238;0.8375116063138347;0.8440111420612814;0.83662698577678;0.006420825171612146
{'max_depth': 5, 'max_features': 1, 'min_samples_split': 2, 'n_estimators': 50, 'random_state': 42};0.07709193229675293;0.000618135498929033;0.01404722531636556;0.0028292398171414572;5;1;2;50;42;{'max_depth': 5, 'max_features': 1, 'min_samples_split': 2, 'n_estimators': 50, 'random_state': 42};0.8761552680221811;0.8376865671641791;0.8022388059701493;0.8388096714197149;0.030209711690477405;26;0.8917910447761194;0.9173630454967502;0.9340761374187558;0.9144100758972084;0.017388641638359802
