Params;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_C;param_degree;param_kernel;param_max_iter;param_probability;param_random_state;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score;split0_train_score;split1_train_score;split2_train_score;mean_train_score;std_train_score
{'C': 1, 'degree': 2, 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 42};16.057071606318157;0.13184333795074155;2.4458667437235513;0.0606593112892641;1;2;rbf;-1;True;42;{'C': 1, 'degree': 2, 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 42};0.9057301293900185;0.8992537313432836;0.8861940298507462;0.8970861748295103;0.0081268274925056;19;0.941231343283582;0.9656453110492108;0.9647168059424327;0.9571978200917419;0.011296365689384556
{'C': 1, 'degree': 2, 'kernel': 'rbf', 'max_iter': 500, 'probability': True, 'random_state': 42};15.747995535532633;0.44322470225725813;2.425210158030192;0.11481159665746787;1;2;rbf;500;True;42;{'C': 1, 'degree': 2, 'kernel': 'rbf', 'max_iter': 500, 'probability': True, 'random_state': 42};0.9057301293900185;0.8992537313432836;0.8861940298507462;0.8970861748295103;0.0081268274925056;19;0.941231343283582;0.9656453110492108;0.9647168059424327;0.9571978200917419;0.011296365689384556
{'C': 1, 'degree': 2, 'kernel': 'rbf', 'max_iter': 1000, 'probability': True, 'random_state': 42};15.632527192433676;0.3289711136505026;2.389359474182129;0.09157524515132401;1;2;rbf;1000;True;42;{'C': 1, 'degree': 2, 'kernel': 'rbf', 'max_iter': 1000, 'probability': True, 'random_state': 42};0.9057301293900185;0.8992537313432836;0.8861940298507462;0.8970861748295103;0.0081268274925056;19;0.941231343283582;0.9656453110492108;0.9647168059424327;0.9571978200917419;0.011296365689384556
{'C': 1, 'degree': 3, 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 42};15.79815443356832;0.29085514833703585;2.4184906482696533;0.10553866786047746;1;3;rbf;-1;True;42;{'C': 1, 'degree': 3, 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 42};0.9057301293900185;0.8992537313432836;0.8861940298507462;0.8970861748295103;0.0081268274925056;19;0.941231343283582;0.9656453110492108;0.9647168059424327;0.9571978200917419;0.011296365689384556
{'C': 1, 'degree': 3, 'kernel': 'rbf', 'max_iter': 500, 'probability': True, 'random_state': 42};16.078108231226604;0.4646293262954407;2.4659876028696694;0.12217121238368522;1;3;rbf;500;True;42;{'C': 1, 'degree': 3, 'kernel': 'rbf', 'max_iter': 500, 'probability': True, 'random_state': 42};0.9057301293900185;0.8992537313432836;0.8861940298507462;0.8970861748295103;0.0081268274925056;19;0.941231343283582;0.9656453110492108;0.9647168059424327;0.9571978200917419;0.011296365689384556
{'C': 1, 'degree': 3, 'kernel': 'rbf', 'max_iter': 1000, 'probability': True, 'random_state': 42};15.448589007059732;0.1214149964142301;2.4955689907073975;0.19268498963208217;1;3;rbf;1000;True;42;{'C': 1, 'degree': 3, 'kernel': 'rbf', 'max_iter': 1000, 'probability': True, 'random_state': 42};0.9057301293900185;0.8992537313432836;0.8861940298507462;0.8970861748295103;0.0081268274925056;19;0.941231343283582;0.9656453110492108;0.9647168059424327;0.9571978200917419;0.011296365689384556
{'C': 1, 'degree': 5, 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 42};15.566436131795248;0.11192563218148302;2.3941191832224527;0.060622653237275524;1;5;rbf;-1;True;42;{'C': 1, 'degree': 5, 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 42};0.9057301293900185;0.8992537313432836;0.8861940298507462;0.8970861748295103;0.0081268274925056;19;0.941231343283582;0.9656453110492108;0.9647168059424327;0.9571978200917419;0.011296365689384556
{'C': 1, 'degree': 5, 'kernel': 'rbf', 'max_iter': 500, 'probability': True, 'random_state': 42};15.448933283487955;0.10367624885324767;2.39996075630188;0.06889404913745942;1;5;rbf;500;True;42;{'C': 1, 'degree': 5, 'kernel': 'rbf', 'max_iter': 500, 'probability': True, 'random_state': 42};0.9057301293900185;0.8992537313432836;0.8861940298507462;0.8970861748295103;0.0081268274925056;19;0.941231343283582;0.9656453110492108;0.9647168059424327;0.9571978200917419;0.011296365689384556
{'C': 1, 'degree': 5, 'kernel': 'rbf', 'max_iter': 1000, 'probability': True, 'random_state': 42};15.441552877426147;0.05873924600220237;2.419652303059896;0.0593716225240755;1;5;rbf;1000;True;42;{'C': 1, 'degree': 5, 'kernel': 'rbf', 'max_iter': 1000, 'probability': True, 'random_state': 42};0.9057301293900185;0.8992537313432836;0.8861940298507462;0.8970861748295103;0.0081268274925056;19;0.941231343283582;0.9656453110492108;0.9647168059424327;0.9571978200917419;0.011296365689384556
{'C': 5, 'degree': 2, 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 42};13.727147897084555;0.18484934512832066;2.046133518218994;0.08925968253609548;5;2;rbf;-1;True;42;{'C': 5, 'degree': 2, 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 42};0.9242144177449169;0.9104477611940298;0.8899253731343284;0.9082455052696838;0.014095021174337677;1;0.9682835820895522;0.978644382544104;0.9879294336118849;0.9782857994151803;0.008024392267939327
{'C': 5, 'degree': 2, 'kernel': 'rbf', 'max_iter': 500, 'probability': True, 'random_state': 42};13.71645212173462;0.2014971701097594;2.05177895228068;0.08618593402512736;5;2;rbf;500;True;42;{'C': 5, 'degree': 2, 'kernel': 'rbf', 'max_iter': 500, 'probability': True, 'random_state': 42};0.9242144177449169;0.9104477611940298;0.8899253731343284;0.9082455052696838;0.014095021174337677;1;0.9682835820895522;0.978644382544104;0.9879294336118849;0.9782857994151803;0.008024392267939327
{'C': 5, 'degree': 2, 'kernel': 'rbf', 'max_iter': 1000, 'probability': True, 'random_state': 42};13.759350617726644;0.2424478646568677;2.054572820663452;0.07776899888537253;5;2;rbf;1000;True;42;{'C': 5, 'degree': 2, 'kernel': 'rbf', 'max_iter': 1000, 'probability': True, 'random_state': 42};0.9242144177449169;0.9104477611940298;0.8899253731343284;0.9082455052696838;0.014095021174337677;1;0.9682835820895522;0.978644382544104;0.9879294336118849;0.9782857994151803;0.008024392267939327
{'C': 5, 'degree': 3, 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 42};13.67738159497579;0.2358704158222646;2.0534443855285645;0.0830563466484027;5;3;rbf;-1;True;42;{'C': 5, 'degree': 3, 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 42};0.9242144177449169;0.9104477611940298;0.8899253731343284;0.9082455052696838;0.014095021174337677;1;0.9682835820895522;0.978644382544104;0.9879294336118849;0.9782857994151803;0.008024392267939327
{'C': 5, 'degree': 3, 'kernel': 'rbf', 'max_iter': 500, 'probability': True, 'random_state': 42};13.782702287038168;0.07581243676071908;2.0451344648996987;0.07774783506836551;5;3;rbf;500;True;42;{'C': 5, 'degree': 3, 'kernel': 'rbf', 'max_iter': 500, 'probability': True, 'random_state': 42};0.9242144177449169;0.9104477611940298;0.8899253731343284;0.9082455052696838;0.014095021174337677;1;0.9682835820895522;0.978644382544104;0.9879294336118849;0.9782857994151803;0.008024392267939327
{'C': 5, 'degree': 3, 'kernel': 'rbf', 'max_iter': 1000, 'probability': True, 'random_state': 42};13.73595388730367;0.18364263149244325;2.048088312149048;0.06410997790712991;5;3;rbf;1000;True;42;{'C': 5, 'degree': 3, 'kernel': 'rbf', 'max_iter': 1000, 'probability': True, 'random_state': 42};0.9242144177449169;0.9104477611940298;0.8899253731343284;0.9082455052696838;0.014095021174337677;1;0.9682835820895522;0.978644382544104;0.9879294336118849;0.9782857994151803;0.008024392267939327
{'C': 5, 'degree': 5, 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 42};13.719985246658325;0.1959465357358695;2.053739547729492;0.08799919884156103;5;5;rbf;-1;True;42;{'C': 5, 'degree': 5, 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 42};0.9242144177449169;0.9104477611940298;0.8899253731343284;0.9082455052696838;0.014095021174337677;1;0.9682835820895522;0.978644382544104;0.9879294336118849;0.9782857994151803;0.008024392267939327
