index,object_class,occlusion,ambiguous,overlap
0,CokeZero,0.4,0,1
1,Coke,0.4,0,0
2,WaterBottle,0.4,0,0
3,RedBullZero,0.2,1,0
4,Fanta,0.4,0,1
5,CokeZero,0.4,0,0
6,Fanta,0.4,0,0
7,Coke,0.4,0,1
8,WaterBottle,0.2,0,1
9,Coke,0.4,0,0
10,WaterBottle,0.2,0,0
11,Fanta,0.4,0,0
12,CokeZero,0.4,0,0
13,RedBullZero,0.4,0,0
14,Coke,0.4,0,1
15,WaterBottle,0.2,0,0
16,RedBullZero,0.2,0,0
17,Fanta,0.4,0,1
18,RedBullZero,0.8,0,0
19,Fanta,0.8,0,0
20,CokeZero,0.6,0,0
21,Coke,0.6,0,1
22,WaterBottle,0.4,0,1
23,CokeZero,0.8,0,0
24,Coke,0.8,0,0
25,RedBullZero,0.6,0,0
26,Fanta,0.8,0,0
27,CokeZero,0.8,0,0
28,Coke,0.8,0,1
29,WaterBottle,0.8,0,0
30,RedBullZero,0.6,0,0
31,Fanta,0.8,0,1
32,CokeZero,0.4,0,0
33,RedBull,0.1,1,1
34,Coke,0.4,0,0
35,RedBull,0.1,1,0
36,Fanta,0.4,0,0
37,MakoEnergy,0.1,0,1
38,RedBull,0.2,1,0
39,RedBullZero,0.2,1,0
40,RedBull,0.4,1,0
41,RedBullZero,0.4,1,0
42,RedBull,0.1,0,0
43,RedBullZero,0.1,0,0
44,RedBull,0.7,0,1
45,RedBull,0.7,0,1
46,RedBullZero,0.7,0,1
47,MakoEnergy,0.7,0,1
48,RedBull,0.1,0,0
49,Coke,0.4,0,0
50,RedBullZero,0.1,0,0
51,RedBull,0.2,1,1
52,Coke,0.4,0,1
53,RedBullZero,0.2,1,0
54,RedBull,0.5,1,0
55,Coke,0.8,0,1
56,RedBullZero,0.5,1,1
57,RedBull,0.6,0,1
58,Coke,0.8,0,0
59,RedBullZero,0.6,0,1
60,RedBull,0.2,1,0
61,MakoEnergy,0.2,0,0
62,RedBull,0.2,0,0
63,MakoEnergy,0.2,0,0
64,RedBullZero,0.6,0,0
65,RedBull,0.6,0,0
66,RedBull,0.2,0,0
67,MakoEnergy,0.2,0,0
68,RedBullZero,0.2,0,0
69,RedBull,0.2,0,0
70,CokeZero,0.4,0,0
71,WaterBottle,0.2,0,1
72,Fanta,0.4,0,0
74,WaterBottle,0.2,0,0
75,RedBullZero,0.2,0,0
76,CokeZero,0.4,0,0
77,WaterBottle,0.2,0,0
78,Fanta,0.4,0,0
79,CokeZero,0.4,0,0
80,WaterBottle,0.2,0,0
81,WaterBottle,0.6,0,1
82,RedBullZero,0.7,0,1
83,CokeZero,0.4,0,0
84,RedBull,0.3,0,1
85,Coke,0.4,0,0
86,RedBull,0.3,0,0
87,Fanta,0.4,0,0
88,MakoEnergy,0.3,0,1
89,CokeZero,0.8,0,0
90,Coke,0.8,0,0
91,RedBull,0.5,0,1
92,MakoEnergy,0.4,0,1
93,Fanta,0.8,0,0
94,CokeZero,0.4,0,1
95,RedBullZero,0.3,1,0
96,Fanta,0.4,0,1
97,Coke,0.4,0,1
98,WaterBottle,0.2,0,1
99,CokeZero,0.4,0,0
100,RedBullZero,0.4,0,0
101,Fanta,0.4,0,0
102,WaterBottle,0.2,0,0
103,CokeZero,0.8,0,0
104,RedBullZero,0.8,0,0
105,Fanta,0.6,0,0
106,Coke,0.8,0,0
107,WaterBottle,0.6,0,0
108,Coke,0.4,0,1
109,WaterBottle,0.4,0,0
110,RedBullZero,0.3,0,0
111,Fanta,0.4,0,1
112,CokeZero,0.4,0,0
113,RedBull,0.3,0,1
114,RedBull,0.7,1,0
115,MakoEnergy,0.3,0,1
116,RedBull,0.6,1,0
117,MakoEnergy,0.5,0,0
118,RedBull,0.6,0,1
119,RedBull,0.6,0,1
120,RedBullZero,0.6,0,1
121,MakoEnergy,0.6,0,1
122,RedBull,0.2,1,1
123,Coke,0.4,0,1
124,RedBull,0.7,0,1
125,Coke,0.8,0,0
126,RedBullZero,0.7,0,1
127,RedBull,0.3,1,0
128,MakoEnergy,0.3,0,0
129,RedBullZero,0.6,0,0
130,RedBull,0.6,0,0
131,RedBull,0.1,0,0
132,MakoEnergy,0.1,0,0
133,RedBullZero,0.2,0,0
134,CokeZero,0.4,0,0
135,WaterBottle,0.3,0,0
136,WaterBottle,0.2,0,0
137,Fanta,0.4,0,0
138,CokeZero,0.4,0,0
139,RedBull,0.2,0,1
140,Coke,0.4,0,0
141,RedBull,0.2,0,0
142,Fanta,0.4,0,0
143,MakoEnergy,0.2,0,1
144,CokeZero,0.4,0,0
145,RedBull,0.2,0,1
146,Coke,0.4,0,0
147,RedBull,0.2,0,1
148,MakoEnergy,0.3,0,1
149,Fanta,0.4,0,0
150,MakoEnergy,0.2,0,1
