index,object_class,object_name,occlusion,ambiguous,overlaps
0,Fanta,Fanta.003,not given,0,1
1,RedBullZero,RedBullZero.002,not given,0,0
2,CokeZero,CokeZero,not given,0,1
3,Coke,Coke.003,not given,0,1
4,Fanta,Fanta.003,not given,0,1
5,RedBullZero,RedBullZero.002,not given,0,0
6,CokeZero,CokeZero,not given,0,1
7,Coke,Coke.003,not given,0,1
8,Fanta,Fanta.003,not given,0,1
9,RedBullZero,RedBullZero.002,not given,0,1
10,CokeZero,CokeZero,not given,0,2
11,Coke,Coke.003,not given,0,1
12,Fanta,Fanta.003,not given,0,0
13,RedBullZero,RedBullZero.002,not given,0,1
14,CokeZero,CokeZero,not given,0,2
15,Coke,Coke.003,not given,0,1
16,Fanta,Fanta.003,not given,0,0
17,RedBullZero,RedBullZero.002,not given,0,1
18,CokeZero,CokeZero,not given,0,2
19,Coke,Coke.003,not given,0,1
20,Jever,Jever.001,not given,0,1
21,Fanta,Fanta.003,not given,0,0
22,RedBullZero,RedBullZero.002,not given,0,1
23,CokeZero,CokeZero,not given,0,3
24,Coke,Coke.003,not given,0,0
25,Jever,Jever.001,not given,0,1
26,Fanta,Fanta.003,not given,0,0
27,RedBullZero,RedBullZero.002,not given,0,1
28,CokeZero,CokeZero,not given,0,3
29,Coke,Coke.003,not given,0,0
30,Jever,Jever.001,not given,0,1
31,Fanta,Fanta.003,not given,0,0
32,RedBullZero,RedBullZero.002,not given,0,1
33,CokeZero,CokeZero,not given,0,2
34,Coke,Coke.003,not given,0,0
35,Jever,Jever.001,not given,0,1
36,Fanta,Fanta.003,not given,0,0
37,RedBullZero,RedBullZero.002,not given,0,1
38,CokeZero,CokeZero,not given,0,2
39,Coke,Coke.003,not given,0,0
40,Jever,Jever.001,not given,0,1
41,Fanta,Fanta.003,not given,0,0
42,RedBullZero,RedBullZero.002,not given,0,0
43,CokeZero,CokeZero,not given,0,2
44,Coke,Coke.003,not given,0,0
45,Jever,Jever.001,not given,0,1
46,Fanta,Fanta.003,not given,0,0
47,RedBullZero,RedBullZero.002,not given,0,0
48,CokeZero,CokeZero,not given,0,1
49,Coke,Coke.003,not given,0,0
50,Jever,Jever.001,not given,0,0
51,Fanta,Fanta.003,not given,0,1
52,RedBullZero,RedBullZero.002,not given,0,0
53,CokeZero,CokeZero,not given,0,1
54,Coke,Coke.003,not given,0,0
55,Jever,Jever.001,not given,0,0
56,Fanta,Fanta.003,not given,0,1
57,RedBullZero,RedBullZero.002,not given,0,1
58,CokeZero,CokeZero,not given,0,1
59,Coke,Coke.003,not given,0,0
60,Jever,Jever.001,not given,0,0
61,Fanta,Fanta.003,not given,0,1
62,RedBullZero,RedBullZero.002,not given,0,1
63,CokeZero,CokeZero,not given,0,1
64,Coke,Coke.003,not given,0,0
65,Jever,Jever.001,not given,0,0
66,Fanta,Fanta.003,not given,0,1
67,RedBullZero,RedBullZero.002,not given,0,1
68,CokeZero,CokeZero,not given,0,1
69,Coke,Coke.003,not given,0,0
70,Jever,Jever.001,not given,0,0
71,Fanta,Fanta.003,not given,0,1
72,RedBullZero,RedBullZero.002,not given,0,1
73,CokeZero,CokeZero,not given,0,2
74,Coke,Coke.003,not given,0,1
75,Jever,Jever.001,not given,0,0
76,Fanta,Fanta.003,not given,0,1
77,RedBullZero,RedBullZero.002,not given,0,1
78,CokeZero,CokeZero,not given,0,2
79,Coke,Coke.003,not given,0,1
80,Jever,Jever.001,not given,0,0
81,Fanta,Fanta.003,not given,0,1
82,RedBullZero,RedBullZero.002,not given,0,1
83,CokeZero,CokeZero,not given,0,1
84,Coke,Coke.003,not given,0,1
85,Jever,Jever.001,not given,0,0
86,Fanta,Fanta.003,not given,0,1
87,RedBullZero,RedBullZero.002,not given,0,1
88,CokeZero,CokeZero,not given,0,1
89,Coke,Coke.003,not given,0,1
90,Jever,Jever.001,not given,0,1
91,Fanta,Fanta.003,not given,0,0
92,RedBullZero,RedBullZero.002,not given,0,0
93,CokeZero,CokeZero,not given,0,1
94,Coke,Coke.003,not given,0,1
95,Jever,Jever.001,not given,0,1
96,Fanta,Fanta.003,not given,0,0
97,RedBullZero,RedBullZero.002,not given,0,0
98,CokeZero,CokeZero,not given,0,1
99,Coke,Coke.003,not given,0,1
100,MakoEnergy,MakoEnergy.002,not given,0,0
101,Jever,Jever.001,not given,0,1
102,Fanta,Fanta.003,not given,0,0
103,RedBullZero,RedBullZero.002,not given,0,0
104,CokeZero,CokeZero,not given,0,1
105,MakoEnergy,MakoEnergy.002,not given,0,0
106,Jever,Jever.001,not given,0,1
107,Fanta,Fanta.003,not given,0,0
108,RedBullZero,RedBullZero.002,not given,0,0
109,CokeZero,CokeZero,not given,0,1
110,MakoEnergy,MakoEnergy.002,not given,0,1
111,Jever,Jever.001,not given,0,1
112,Fanta,Fanta.003,not given,0,0
113,RedBullZero,RedBullZero.002,not given,0,0
114,MakoEnergy,MakoEnergy.002,not given,0,1
115,Jever,Jever.001,not given,0,1
116,Fanta,Fanta.003,not given,0,1
117,RedBullZero,RedBullZero.002,not given,0,0
118,MakoEnergy,MakoEnergy.002,not given,0,1
