index,object_class,object_name,x,y,z,ambiguous,overlaps
0,Pepsi,Pepsi,-4.070772647857666,0.009076178073883057,1.6367193460464478,0,0
1,RedBull,RedBull,-3.5975112915039062,0.009076178073883057,1.8303897380828857,0,0
2,Pepsi,Pepsi,-4.070772647857666,0.009076178073883057,1.6367193460464478,0,0
3,RedBull,RedBull,-3.5975112915039062,0.009076178073883057,1.8303897380828857,0,0
4,Pepsi,Pepsi,-4.070772647857666,0.009076178073883057,1.6367193460464478,0,0
5,Water_Lemon,Water_Lemon,-3.066328525543213,0.009075939655303955,1.9649845361709595,0,0
6,RedBull,RedBull,-3.5975112915039062,0.009076178073883057,1.8303897380828857,0,0
7,Pepsi,Pepsi,-4.070772647857666,0.009076178073883057,1.6367193460464478,0,0
8,Water_Lemon,Water_Lemon,-3.066328525543213,0.009075939655303955,1.9649845361709595,1,0
9,RedBull,RedBull,-3.5975112915039062,0.009076178073883057,1.8303897380828857,0,0
10,Pepsi,Pepsi,-4.070772647857666,0.009076178073883057,1.6367193460464478,0,0
11,Water_Lemon,Water_Lemon,-3.066328525543213,0.009075939655303955,1.9649845361709595,1,0
12,RedBull,RedBull,-3.5975112915039062,0.009076178073883057,1.8303897380828857,0,0
13,Pepsi,Pepsi,-4.070772647857666,0.009076178073883057,1.6367193460464478,0,0
14,Water_Lemon,Water_Lemon,-3.066328525543213,0.009075939655303955,1.9649845361709595,1,0
15,RedBull,RedBull,-3.5975112915039062,0.009076178073883057,1.8303897380828857,1,0
16,Pepsi,Pepsi,-4.070772647857666,0.009076178073883057,1.6367193460464478,0,0
17,Water_Lemon,Water_Lemon,-3.066328525543213,0.009075939655303955,1.9649845361709595,0,0
18,RedBull,RedBull,-3.5975112915039062,0.009076178073883057,1.8303897380828857,0,0
19,Pepsi,Pepsi,-4.070772647857666,0.009076178073883057,1.6367193460464478,0,0
20,MakoEnergy,MakoEnergy,-1.9823424816131592,0.009076178073883057,1.8303897380828857,0,0
21,Water_Lemon,Water_Lemon,-3.066328525543213,0.009075939655303955,1.9649845361709595,1,0
22,RedBull,RedBull,-3.5975112915039062,0.009076178073883057,1.8303897380828857,0,0
23,Pepsi,Pepsi,-4.070772647857666,0.009076178073883057,1.6367193460464478,0,0
24,MakoEnergy,MakoEnergy,-1.9823424816131592,0.009076178073883057,1.8303897380828857,0,0
25,Water_Lemon,Water_Lemon,-3.066328525543213,0.009075939655303955,1.9649845361709595,0,0
26,RedBull,RedBull,-3.5975112915039062,0.009076178073883057,1.8303897380828857,0,0
27,Pepsi,Pepsi,-4.070772647857666,0.009076178073883057,1.6367193460464478,0,0
28,MakoEnergy,MakoEnergy,-1.9823424816131592,0.009076178073883057,1.8303897380828857,0,0
29,Water_Lemon,Water_Lemon,-3.066328525543213,0.009075939655303955,1.9649845361709595,1,0
30,RedBull,RedBull,-3.5975112915039062,0.009076178073883057,1.8303897380828857,0,0
31,Pepsi,Pepsi,-4.070772647857666,0.009076178073883057,1.6367193460464478,0,0
32,MakoEnergy,MakoEnergy,-1.9823424816131592,0.009076178073883057,1.8303897380828857,0,0
33,Water_Lemon,Water_Lemon,-3.066328525543213,0.009075939655303955,1.9649845361709595,1,0
34,RedBull,RedBull,-3.5975112915039062,0.009076178073883057,1.8303897380828857,0,0
35,Pepsi,Pepsi,-4.070772647857666,0.009076178073883057,1.6367193460464478,0,0
36,Wine_Red,Wine_Red,-1.3988423347473145,0.009076178073883057,1.63780677318573,0,0
37,MakoEnergy,MakoEnergy,-1.9823424816131592,0.009076178073883057,1.8303897380828857,0,0
38,Water_Lemon,Water_Lemon,-3.066328525543213,0.009075939655303955,1.9649845361709595,1,0
39,RedBull,RedBull,-3.5975112915039062,0.009076178073883057,1.8303897380828857,0,0
40,Pepsi,Pepsi,-4.070772647857666,0.009076178073883057,1.6367193460464478,0,0
41,Wine_Red,Wine_Red,-1.3988423347473145,0.009076178073883057,1.63780677318573,0,0
42,MakoEnergy,MakoEnergy,-1.9823424816131592,0.009076178073883057,1.8303897380828857,0,0
43,Water_Lemon,Water_Lemon,-3.066328525543213,0.009075939655303955,1.9649845361709595,1,0
44,RedBull,RedBull,-3.5975112915039062,0.009076178073883057,1.8303897380828857,0,0
45,Wine_Red,Wine_Red,-1.3988423347473145,0.009076178073883057,1.63780677318573,0,0
46,MakoEnergy,MakoEnergy,-1.9823424816131592,0.009076178073883057,1.8303897380828857,0,0
47,Water_Lemon,Water_Lemon,-3.066328525543213,0.009075939655303955,1.9649845361709595,1,0
48,RedBull_Zero,RedBull_Zero,-0.7740492820739746,0.009076178073883057,1.8303897380828857,0,0
49,RedBull,RedBull,-3.5975112915039062,0.009076178073883057,1.8303897380828857,0,0
50,Wine_Red,Wine_Red,-1.3988423347473145,0.009076178073883057,1.63780677318573,0,0
51,MakoEnergy,MakoEnergy,-1.9823424816131592,0.009076178073883057,1.8303897380828857,0,0
52,Water_Lemon,Water_Lemon,-3.066328525543213,0.009075939655303955,1.9649845361709595,1,0
53,RedBull_Zero,RedBull_Zero,-0.7740492820739746,0.009076178073883057,1.8303897380828857,0,0
54,RedBull,RedBull,-3.5975112915039062,0.009076178073883057,1.8303897380828857,0,0
55,Wine_Red,Wine_Red,-1.3988423347473145,0.009076178073883057,1.63780677318573,0,0
56,MakoEnergy,MakoEnergy,-1.9823424816131592,0.009076178073883057,1.8303897380828857,0,0
57,Water_Lemon,Water_Lemon,-3.066328525543213,0.009075939655303955,1.9649845361709595,1,0
58,RedBull_Zero,RedBull_Zero,-0.7740492820739746,0.009076178073883057,1.8303897380828857,0,0
59,RedBull,RedBull,-3.5975112915039062,0.009076178073883057,1.8303897380828857,0,0
60,Wine_Red,Wine_Red,-1.3988423347473145,0.009076178073883057,1.63780677318573,0,0
61,MakoEnergy,MakoEnergy,-1.9823424816131592,0.009076178073883057,1.8303897380828857,0,0
62,Water_Lemon,Water_Lemon,-3.066328525543213,0.009075939655303955,1.9649845361709595,1,0
63,RedBull_Zero,RedBull_Zero,-0.7740492820739746,0.009076178073883057,1.8303897380828857,0,0
64,Wine_Red,Wine_Red,-1.3988423347473145,0.009076178073883057,1.63780677318573,0,0
65,MakoEnergy,MakoEnergy,-1.9823424816131592,0.009076178073883057,1.8303897380828857,0,0
66,Water_Lemon,Water_Lemon,-3.066328525543213,0.009075939655303955,1.9649845361709595,1,0
67,Water,Water,-0.15669763088226318,0.009075939655303955,1.9649845361709595,1,0
68,RedBull_Zero,RedBull_Zero,-0.7740492820739746,0.009076178073883057,1.8303897380828857,0,0
69,Wine_Red,Wine_Red,-1.3988423347473145,0.009076178073883057,1.63780677318573,0,0
70,MakoEnergy,MakoEnergy,-1.9823424816131592,0.009076178073883057,1.8303897380828857,0,0
71,Water,Water,-0.15669763088226318,0.009075939655303955,1.9649845361709595,1,0
72,RedBull_Zero,RedBull_Zero,-0.7740492820739746,0.009076178073883057,1.8303897380828857,0,0
73,Wine_Red,Wine_Red,-1.3988423347473145,0.009076178073883057,1.63780677318573,0,0
74,MakoEnergy,MakoEnergy,-1.9823424816131592,0.009076178073883057,1.8303897380828857,0,0
75,Water,Water,-0.15669763088226318,0.009075939655303955,1.9649845361709595,1,0
76,VitaBuzz,VitaBuzz,0.3467562794685364,0.009076178073883057,1.8303897380828857,0,0
77,RedBull_Zero,RedBull_Zero,-0.7740492820739746,0.009076178073883057,1.8303897380828857,0,0
78,Wine_Red,Wine_Red,-1.3988423347473145,0.009076178073883057,1.63780677318573,0,0
79,MakoEnergy,MakoEnergy,-1.9823424816131592,0.009076178073883057,1.8303897380828857,0,0
80,Water,Water,-0.15669763088226318,0.009075939655303955,1.9649845361709595,1,0
81,VitaBuzz,VitaBuzz,0.3467562794685364,0.009076178073883057,1.8303897380828857,0,0
82,RedBull_Zero,RedBull_Zero,-0.7740492820739746,0.009076178073883057,1.8303897380828857,0,0
83,Wine_Red,Wine_Red,-1.3988423347473145,0.009076178073883057,1.63780677318573,0,0
84,MakoEnergy,MakoEnergy,-1.9823424816131592,0.009076178073883057,1.8303897380828857,0,0
85,Water,Water,-0.15669763088226318,0.009075939655303955,1.9649845361709595,1,0
86,VitaBuzz,VitaBuzz,0.3467562794685364,0.009076178073883057,1.8303897380828857,0,0
87,RedBull_Zero,RedBull_Zero,-0.7740492820739746,0.009076178073883057,1.8303897380828857,0,0
88,Wine_Red,Wine_Red,-1.3988423347473145,0.009076178073883057,1.63780677318573,0,0
89,MakoEnergy,MakoEnergy,-1.9823424816131592,0.009076178073883057,1.8303897380828857,0,0
90,Water,Water,-0.15669763088226318,0.009075939655303955,1.9649845361709595,1,0
91,VitaBuzz,VitaBuzz,0.3467562794685364,0.009076178073883057,1.8303897380828857,0,0
92,RedBull_Zero,RedBull_Zero,-0.7740492820739746,0.009076178073883057,1.8303897380828857,0,0
93,Pepsi_Zero,Pepsi_Zero,0.8367828130722046,0.009076178073883057,1.6367193460464478,0,0
94,Wine_Red,Wine_Red,-1.3988423347473145,0.009076178073883057,1.63780677318573,0,0
95,MakoEnergy,MakoEnergy,-1.9823424816131592,0.009076178073883057,1.8303897380828857,0,0
96,Water,Water,-0.15669763088226318,0.009075939655303955,1.9649845361709595,1,0
97,VitaBuzz,VitaBuzz,0.3467562794685364,0.009076178073883057,1.8303897380828857,0,0
98,RedBull_Zero,RedBull_Zero,-0.7740492820739746,0.009076178073883057,1.8303897380828857,0,0
99,Pepsi_Zero,Pepsi_Zero,0.8367828130722046,0.009076178073883057,1.6367193460464478,0,0
100,Wine_Red,Wine_Red,-1.3988423347473145,0.009076178073883057,1.63780677318573,0,0
101,Water,Water,-0.15669763088226318,0.009075939655303955,1.9649845361709595,1,0
102,VitaBuzz,VitaBuzz,0.3467562794685364,0.009076178073883057,1.8303897380828857,0,0
103,RedBull_Zero,RedBull_Zero,-0.7740492820739746,0.009076178073883057,1.8303897380828857,0,0
104,Pepsi_Zero,Pepsi_Zero,0.8367828130722046,0.009076178073883057,1.6367193460464478,0,0
105,Wine_Red,Wine_Red,-1.3988423347473145,0.009076178073883057,1.63780677318573,0,0
106,Water,Water,-0.15669763088226318,0.009075939655303955,1.9649845361709595,1,0
107,VitaBuzz,VitaBuzz,0.3467562794685364,0.009076178073883057,1.8303897380828857,0,0
108,RedBull_Zero,RedBull_Zero,-0.7740492820739746,0.009076178073883057,1.8303897380828857,0,0
109,Pepsi_Zero,Pepsi_Zero,0.8367828130722046,0.009076178073883057,1.6367193460464478,0,0
110,Water,Water,-0.15669763088226318,0.009075939655303955,1.9649845361709595,1,0
111,VitaBuzz,VitaBuzz,0.3467562794685364,0.009076178073883057,1.8303897380828857,0,0
112,RedBull_Zero,RedBull_Zero,-0.7740492820739746,0.009076178073883057,1.8303897380828857,0,0
113,Pepsi_Zero,Pepsi_Zero,0.8367828130722046,0.009076178073883057,1.6367193460464478,0,0
114,Water,Water,-0.15669763088226318,0.009075939655303955,1.9649845361709595,1,0
115,VitaBuzz,VitaBuzz,0.3467562794685364,0.009076178073883057,1.8303897380828857,0,0
116,RedBull_Zero,RedBull_Zero,-0.7740492820739746,0.009076178073883057,1.8303897380828857,0,0
117,Pepsi_Zero,Pepsi_Zero,0.8367828130722046,0.009076178073883057,1.6367193460464478,0,0
118,Water,Water,-0.15669763088226318,0.009075939655303955,1.9649845361709595,1,0
119,VitaBuzz,VitaBuzz,0.3467562794685364,0.009076178073883057,1.8303897380828857,0,0
120,RedBull_Zero,RedBull_Zero,-0.7740492820739746,0.009076178073883057,1.8303897380828857,0,0
121,Pepsi_Zero,Pepsi_Zero,0.8367828130722046,0.009076178073883057,1.6367193460464478,0,0
122,Water,Water,-0.15669763088226318,0.009075939655303955,1.9649845361709595,1,0
123,VitaBuzz,VitaBuzz,0.3467562794685364,0.009076178073883057,1.8303897380828857,0,0
124,RedBull_Zero,RedBull_Zero,-0.7740492820739746,0.009076178073883057,1.8303897380828857,0,0
125,Pepsi_Zero,Pepsi_Zero,0.8367828130722046,0.009076178073883057,1.6367193460464478,0,0
126,Wine_White,Wine_White,2.258185625076294,0.009076178073883057,1.63780677318573,0,0
127,Water,Water,-0.15669763088226318,0.009075939655303955,1.9649845361709595,0,0
128,VitaBuzz,VitaBuzz,0.3467562794685364,0.009076178073883057,1.8303897380828857,0,0
129,Pepsi_Zero,Pepsi_Zero,0.8367828130722046,0.009076178073883057,1.6367193460464478,0,0
130,Wine_White,Wine_White,2.258185625076294,0.009076178073883057,1.63780677318573,0,0
131,Water,Water,-0.15669763088226318,0.009075939655303955,1.9649845361709595,0,0
132,VitaBuzz,VitaBuzz,0.3467562794685364,0.009076178073883057,1.8303897380828857,0,0
133,Pepsi_Zero,Pepsi_Zero,0.8367828130722046,0.009076178073883057,1.6367193460464478,0,0
134,Wine_White,Wine_White,2.258185625076294,0.009076178073883057,1.63780677318573,0,0
135,Water,Water,-0.15669763088226318,0.009075939655303955,1.9649845361709595,0,0
136,VitaBuzz_Zero,VitaBuzz_Zero,3.0107016563415527,0.009076178073883057,1.8303897380828857,0,0
137,VitaBuzz,VitaBuzz,0.3467562794685364,0.009076178073883057,1.8303897380828857,0,0
138,Pepsi_Zero,Pepsi_Zero,0.8367828130722046,0.009076178073883057,1.6367193460464478,0,0
139,Wine_White,Wine_White,2.258185625076294,0.009076178073883057,1.63780677318573,0,0
140,VitaBuzz_Zero,VitaBuzz_Zero,3.0107016563415527,0.009076178073883057,1.8303897380828857,0,0
141,VitaBuzz,VitaBuzz,0.3467562794685364,0.009076178073883057,1.8303897380828857,0,0
142,Pepsi_Zero,Pepsi_Zero,0.8367828130722046,0.009076178073883057,1.6367193460464478,0,0
143,Wine_White,Wine_White,2.258185625076294,0.009076178073883057,1.63780677318573,0,0
144,VitaBuzz_Zero,VitaBuzz_Zero,3.0107016563415527,0.009076178073883057,1.8303897380828857,0,0
145,VitaBuzz,VitaBuzz,0.3467562794685364,0.009076178073883057,1.8303897380828857,0,0
146,Pepsi_Zero,Pepsi_Zero,0.8367828130722046,0.009076178073883057,1.6367193460464478,0,0
147,Wine_White,Wine_White,2.258185625076294,0.009076178073883057,1.63780677318573,0,0
148,VitaBuzz_Zero,VitaBuzz_Zero,3.0107016563415527,0.009076178073883057,1.8303897380828857,0,0
149,Pepsi_Zero,Pepsi_Zero,0.8367828130722046,0.009076178073883057,1.6367193460464478,0,0
150,Wine_White,Wine_White,2.258185625076294,0.009076178073883057,1.63780677318573,0,0
151,VitaBuzz_Zero,VitaBuzz_Zero,3.0107016563415527,0.009076178073883057,1.8303897380828857,0,0
152,Pepsi_Zero,Pepsi_Zero,0.8367828130722046,0.009076178073883057,1.6367193460464478,0,0
153,Wine_White,Wine_White,2.258185625076294,0.009076178073883057,1.63780677318573,0,0
154,VitaBuzz_Zero,VitaBuzz_Zero,3.0107016563415527,0.009076178073883057,1.8303897380828857,0,0
155,Pepsi_Zero,Pepsi_Zero,0.8367828130722046,0.009076178073883057,1.6367193460464478,0,0
156,Wine_White,Wine_White,2.258185625076294,0.009076178073883057,1.63780677318573,0,0
157,Pepsi,Pepsi.001,4.1947503089904785,0.029334723949432373,1.6367193460464478,0,0
158,VitaBuzz_Zero,VitaBuzz_Zero,3.0107016563415527,0.009076178073883057,1.8303897380828857,0,0
159,Wine_White,Wine_White,2.258185625076294,0.009076178073883057,1.63780677318573,0,0
160,Pepsi,Pepsi.001,4.1947503089904785,0.029334723949432373,1.6367193460464478,0,0
